240	1	54	48	54	160	1	50	10	60	0	0	0	60	0	6400000	1	#GBA #240:160 (Prototyp) - Rand ist unten
256	1	6	17	18	192	1	26	22	29	0	0	0	60	0	4800000	1	#Sega Master System (NTSC) # 256:192
256	1	8	17	21	224	1	7	10	24	0	0	0	60	0	4800000	1	#NES, SNES (NTSC) #256:224
256	1	8	17	21	229	1	0	30	0	12	0	0	60	0	4800000	1	#PC Engine (zuckelt oben)
260	1	8	17	21	230	1	7	24	0	0	0	0	60	0	4800000	1	260x230x60Hz
320	1	20	29	35	224	1	10	14	16	0	0	0	60	0	6400000	1	#SEGA Genesis (NTSC) 320:224
320	1	14	46	28	256	1	17	32	9	0	0	0	50	0	6400000	1	#Amiga 320:256 Amiga (PAL)
320	1	17	33	34	224	1	14	8	18	0	0	0	60	0	6400000	1	#320x244x60Hz
320	1	20	30	35	240	1	12	12	16	0	0	0	60	0	6400000	1	#320:240
336	1	10	30	34	252	1	15	3	42	0	0	0	50	0	6400000	1	#336:252 6.4MHz progressive
384	1	0	11	28	224	1	30	0	30	0	0	0	60	0	6400000	1	#CapcomPlaySystem 1 #384:224
386	1	10	15	30	226	1	30	0	30	0	0	0	60	0	640000	1	#386×226
480	1	29	35	66	234	1	4	10	18	0	0	0	60	0	9600000	1	#480x234x60Hz
506	1	8	48	56	240	1	3	10	6	0	0	0	60	0	9600000	1	#506x240x60Hz
512	1	16	48	64	288	1	3	5	6	0	0	0	50	0	9600000	1	#512x288x50Hz
512	1	22	32	54	244	1	3	5	6	0	0	0	60	0	9600000	1	#512x244x60Hz
512	1	16	48	64	320	1	5	5	0	0	0	0	60	0	9600000	1	#512x320x60Hz - flickering stressfull for eyes
1010	1	24	96	120	288	1	3	10	6	0	0	0	50	0	19200000	1	#1010x288x50Hz
1068	1	10	62	72	256	1	2	4	2	0	0	0	60	0	19200000	1	#1068x256x60Hz
